university,department_code,course_number,title,description,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal
Rensselaer Polytechnic Institute,ARTS,2300,Rensselaer Orchestra,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4100,Electronic Arts Theory Seminar,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2340,Introduction to Afro-Cuban Percussion,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4160,Music and Technology II,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2060,2D Experimental Animation,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4210,Sculpture II,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4010,Interactive Arts Programming,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4220,Painting,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4230,Inflatable Sculpture,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4240,Eco Chic: Living Art,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4380,Music and Sound II,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4150,Media Watch,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4200,Advanced Drawing,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4060,3D Visual Effects,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2600,Ensemble Nonlinear,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4420,Experimental Telepresence,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4430,Topics in Deep Listening,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4460,Animation Production,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4560,Hactivism,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4260,Life Drawing and Anatomy for Artists,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4630,Writing and Directing for Video,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2500,History of Western Music,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4840,Creative Seminar I,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4850,Creative Seminar II,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4410,Deep Listening,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4870,Creative Data Design,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,1050,Art History: Paleolithic to Contemporary,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4880,Interdisciplinary Research Seminar,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4090,Art and Code and Interactivity,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4960,Topics in the Arts,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4940,Studies in the Arts,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4620,Exploring Movement and Sound,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6030,Multimedia Performance Systems,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6050,Rethinking Documentary: Video Production,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4130,New Media Theory,,False,False,False,False
